suara_presma_sah,alasan_suara_presma_tidak_sah,suara_dpm_sah,alasan_suara_dpm_tidak_sah,waktu,dalam_waktu_pemungutan,nim_email_hashed,jenis_email,input_fakultas,fakultas_tercatat,terdaftar,fakultas_benar,dapil_sesuai,pilihan_presma,pilihan_dpm_fh,pilihan_dpm_feb,pilihan_dpm_fp,pilihan_dpm_ft,pilihan_dpm_fisib,pilihan_dpm_fkis
true,,true,,2020-12-18 08:21:52 +0700 +07,true,3c221f99d56fef3fe97814704f4359fd,student,FEB,FEB,true,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 2,,,,
true,,true,,2020-12-18 08:21:54 +0700 +07,true,131be6f035d0eefa36d7b76ce3b3c897,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 2,,
true,,true,,2020-12-18 08:21:57 +0700 +07,true,627a5695b410693ce1876228aaf6dd68,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 1,,
true,,true,,2020-12-18 08:21:58 +0700 +07,true,df993b698f784e71d692f4e72b531d29,student,FKis,FKis,true,true,true,Pasangan calon nomor urut 1,,,,,,Calon DPM nomor urut 2
true,,true,,2020-12-18 08:21:58 +0700 +07,true,3f4d63937883f6af10969304c69e15a2,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:21:59 +0700 +07,true,b375f01e063ec0a92be576ac42325a47,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 1,,
true,,true,,2020-12-18 08:22:02 +0700 +07,true,04ff091b87cf097ca06c8e744bd009cc,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:22:05 +0700 +07,true,0698018137a04a7489d6a70283eb8969,student,FP,FP,true,true,true,Pasangan calon nomor urut 1,,,Calon DPM nomor urut 1,,,
true,,true,,2020-12-18 08:22:06 +0700 +07,true,830ca3e7753e32070a6bb2049fed5689,student,FKis,FKis,true,true,true,Pasangan calon nomor urut 1,,,,,,Calon DPM nomor urut 2
true,,true,,2020-12-18 08:22:07 +0700 +07,true,cb89a2fe8168f6865b45aee8e64091c0,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:22:10 +0700 +07,true,ac5deecfeb47393040021ed62cc2634a,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:22:17 +0700 +07,true,27f1a7aa51fae1b9a932ab7e7148e861,student,FEB,FEB,true,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 2,,,,
true,,true,,2020-12-18 08:22:22 +0700 +07,true,b84578afae1c2144097a27ffbaff9202,student,FEB,FEB,true,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 2,,,,
true,,true,,2020-12-18 08:22:23 +0700 +07,true,75a11d5c19176d9974afc5052ccdb13d,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:22:23 +0700 +07,true,5ae8e3dd773716dbb01a37c5e69f9beb,student,FKis,FKis,true,true,true,Pasangan calon nomor urut 1,,,,,,Calon DPM nomor urut 2
true,,true,,2020-12-18 08:22:29 +0700 +07,true,7ecba4094bcae4f4feaf5b2c24c2f418,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
